ID,Tank Failure Pressure (bar),Liquid Ratio,Tank Width (m),Tank Length (m),Tank Height (m),BLEVE Height (m),Vapour Height (m),Vapour Temperature (K),Liquid Temperature (K),Obstacle Distance to BLEVE (m),Obstacle Width (m),Obstacle Height (m),Obstacle Thickness (m),Obstacle Angle,Status,Liquid Critical Pressure (bar),Liquid Boiling Temperature (K),Liquid Critical Temperature (K),Sensor ID,Sensor Position Side,Sensor Position x,Sensor Position y,Sensor Position z,Target Pressure (bar)
3213.0,16.52,0.54,1.4,6.81,1.38,0.62,0.78,327.86,341.59,13.0,7.0,4.0,0.8,5.0,superheated,42.5,-42.0,96.7,1.0,1.0,14.55,-2.1,-0.8,0.1612379
3214.0,16.29,0.54,1.38,6.81,1.41,0.59,0.78,328.34,341.91,13.0,7.0,4.0,0.79,5.0,superheated,42.5,-42.0,96.7,2.0,1.0,14.55,-2.1,1.0,0.16290095
3215.0,16.42,0.54,1.41,6.8,1.41,0.6,0.81,326.93,341.34,13.0,7.0,4.0,0.81,5.0,superheated,42.5,-42.0,96.7,3.0,1.0,14.55,-2.1,2.8,0.25445116
3216.0,16.26,0.54,1.39,6.81,1.38,0.6,0.8,327.62,340.76,13.0,7.0,4.0,0.82,5.0,superheated,42.5,-42.0,96.7,4.0,1.0,14.55,1.2,-0.8,0.24002799
3217.0,16.39,0.54,1.41,6.81,1.38,0.58,0.82,328.37,340.82,13.0,7.0,4.0,0.81,5.0,superheated,42.5,-42.0,96.7,5.0,1.0,14.55,1.2,1.0,0.17492895
3218.0,16.4,0.54,1.4,6.81,1.41,0.61,0.79,327.16,341.49,13.0,7.0,4.0,0.78,5.0,superheated,42.5,-42.0,96.7,6.0,1.0,14.55,1.2,2.8,0.10385802
3219.0,16.46,0.54,1.42,6.8,1.41,0.59,0.79,328.55,341.82,13.0,7.0,4.0,0.78,5.0,superheated,42.5,-42.0,96.7,7.0,1.0,14.55,4.5,-0.8,0.086149909
3220.0,16.44,0.54,1.4,6.81,1.42,0.59,0.78,327.13,341.26,13.0,7.0,4.0,0.81,5.0,superheated,42.5,-42.0,96.7,8.0,1.0,14.55,4.5,1.0,0.086791798
3221.0,16.42,0.54,1.38,6.78,1.42,0.6,0.81,326.38,341.04,13.0,7.0,4.0,0.81,5.0,superheated,42.5,-42.0,96.7,9.0,1.0,14.55,4.5,2.8,0.17102845
3222.0,16.43,0.54,1.42,6.8,1.38,0.58,0.82,327.8,340.98,13.0,7.0,4.0,0.78,5.0,superheated,42.5,-42.0,96.7,10.0,2.0,13.65,-2.1,-0.8,1.0938188
3223.0,16.44,0.54,1.4,6.78,1.41,0.6,0.79,327.48,341.31,13.0,7.0,4.0,0.79,5.0,superheated,42.5,-42.0,96.7,11.0,2.0,13.65,-2.1,1.0,1.0914841
3224.0,16.18,0.54,1.42,6.81,1.4,0.6,0.81,327.12,341.44,13.0,7.0,4.0,0.79,5.0,superheated,42.5,-42.0,96.7,12.0,2.0,13.65,-2.1,2.8,1.0367405
3225.0,16.37,0.54,1.39,6.81,1.41,0.6,0.79,327.03,340.92,13.0,7.0,4.0,0.78,5.0,superheated,42.5,-42.0,96.7,13.0,2.0,13.65,1.2,-0.8,0.83508968
3226.0,16.39,0.54,1.39,6.79,1.39,0.59,0.81,328.09,341.59,13.0,7.0,4.0,0.79,5.0,superheated,42.5,-42.0,96.7,14.0,2.0,13.65,1.2,1.0,0.83324337
3227.0,16.39,0.54,1.39,6.81,1.4,0.62,0.78,329.05,341.3,13.0,7.0,4.0,0.8,5.0,superheated,42.5,-42.0,96.7,15.0,2.0,13.65,1.2,2.8,0.77918857
3228.0,16.45,0.54,1.4,6.8,1.4,0.62,0.79,327.1,341.13,13.0,7.0,4.0,0.82,5.0,superheated,42.5,-42.0,96.7,16.0,2.0,13.65,4.5,-0.8,0.66316968
3229.0,16.36,0.54,1.38,6.8,1.39,0.58,0.8,328.29,341.56,13.0,7.0,4.0,0.8,5.0,superheated,42.5,-42.0,96.7,17.0,2.0,13.65,4.5,1.0,0.66430438
3230.0,16.48,0.54,1.39,6.8,1.42,0.59,0.8,327.24,341.21,13.0,7.0,4.0,0.81,5.0,superheated,42.5,-42.0,96.7,18.0,2.0,13.65,4.5,2.8,0.63173306
3231.0,16.3,0.54,1.41,6.81,1.41,0.6,0.8,326.73,341.32,13.0,7.0,4.0,0.8,5.0,superheated,42.5,-42.0,96.7,19.0,3.0,14.1,-2.35,-0.8,0.55953681
3232.0,16.36,0.54,1.41,6.8,1.4,0.59,0.8,329.35,341.35,13.0,7.0,4.0,0.81,5.0,superheated,42.5,-42.0,96.7,20.0,3.0,14.1,-2.35,1.0,0.56140119
3233.0,16.26,0.54,1.41,6.79,1.39,0.6,0.8,328.31,341.49,13.0,7.0,4.0,0.81,5.0,superheated,42.5,-42.0,96.7,21.0,3.0,14.1,-2.35,2.8,0.54223198
3234.0,16.43,0.54,1.41,6.8,1.4,0.59,0.82,327.89,341.46,13.0,7.0,4.0,0.79,5.0,superheated,42.5,-42.0,96.7,22.0,4.0,14.1,-2.1,3.1,0.45693621
3235.0,16.45,0.54,1.4,6.81,1.41,0.6,0.81,327.79,341.03,13.0,7.0,4.0,0.8,5.0,superheated,42.5,-42.0,96.7,23.0,4.0,14.1,1.2,3.1,0.31523716
3236.0,16.42,0.54,1.39,6.79,1.38,0.6,0.79,328.49,341.43,13.0,7.0,4.0,0.8,5.0,superheated,42.5,-42.0,96.7,24.0,4.0,14.1,4.5,3.1,0.2851294
3237.0,16.26,0.54,1.4,6.81,1.4,0.6,0.78,327.77,341.32,13.0,7.0,4.0,0.81,5.0,superheated,42.5,-42.0,96.7,25.0,5.0,14.1,4.75,-0.8,0.26876709
3238.0,16.4,0.54,1.39,6.82,1.41,0.6,0.79,326.46,341.35,13.0,7.0,4.0,0.81,5.0,superheated,42.5,-42.0,96.7,26.0,5.0,14.1,4.75,1.0,0.27002677
3239.0,16.48,0.54,1.41,6.8,1.4,0.61,0.82,327.63,341.52,13.0,7.0,4.0,0.82,5.0,superheated,42.5,-42.0,96.7,27.0,5.0,14.1,4.75,2.8,0.27946949
3240.0,17.53,0.46,1.19,4.79,2.21,0.18,1.2,327.54,398.95,15.0,6.0,4.0,1.41,17.0,superheated,37.9,-1.0,152.0,1.0,1.0,17.05,1.8,-0.6,0.10756273
3241.0,17.66,0.47,1.19,4.82,2.21,0.18,1.19,328.01,398.7,15.0,6.0,4.0,1.38,17.0,superheated,37.9,-1.0,152.0,2.0,1.0,17.05,1.8,1.2,0.10761514
3242.0,17.45,0.46,1.18,4.8,2.2,0.21,1.19,326.99,398.38,15.0,6.0,4.0,1.42,17.0,superheated,37.9,-1.0,152.0,3.0,1.0,17.05,1.8,3.0,0.15120073
3243.0,17.55,0.46,1.19,4.79,2.22,0.18,1.19,326.05,398.57,15.0,6.0,4.0,1.39,17.0,superheated,37.9,-1.0,152.0,4.0,1.0,17.05,4.6,-0.6,0.1312208
3244.0,17.31,0.46,1.2,4.8,2.21,0.22,1.21,326.47,399.08,15.0,6.0,4.0,1.4,17.0,superheated,37.9,-1.0,152.0,5.0,1.0,17.05,4.6,1.2,0.10640184
3245.0,17.55,0.46,1.22,4.82,2.18,0.18,1.19,326.85,398.98,15.0,6.0,4.0,1.4,17.0,superheated,37.9,-1.0,152.0,6.0,1.0,17.05,4.6,3.0,0.078522585
3246.0,17.55,0.46,1.19,4.8,2.18,0.19,1.19,326.95,398.73,15.0,6.0,4.0,1.41,17.0,superheated,37.9,-1.0,152.0,7.0,1.0,17.05,7.4,-0.6,0.078157507
3247.0,17.62,0.46,1.19,4.79,2.2,0.2,1.21,328.36,398.47,15.0,6.0,4.0,1.41,17.0,superheated,37.9,-1.0,152.0,8.0,1.0,17.05,7.4,1.2,0.063219823
3248.0,17.57,0.46,1.18,4.81,2.18,0.21,1.21,325.99,398.46,15.0,6.0,4.0,1.41,17.0,superheated,37.9,-1.0,152.0,9.0,1.0,17.05,7.4,3.0,0.12427116
3249.0,17.32,0.46,1.21,4.81,2.21,0.21,1.18,328.26,399.01,15.0,6.0,4.0,1.4,17.0,superheated,37.9,-1.0,152.0,10.0,2.0,15.55,1.8,-0.6,0.56247532
3250.0,17.4,0.46,1.21,4.78,2.19,0.19,1.21,328.1,399.41,15.0,6.0,4.0,1.39,17.0,superheated,37.9,-1.0,152.0,11.0,2.0,15.55,1.8,1.2,0.55776858
3251.0,17.49,0.46,1.2,4.81,2.2,0.22,1.2,326.83,399.0,15.0,6.0,4.0,1.39,17.0,superheated,37.9,-1.0,152.0,12.0,2.0,15.55,1.8,3.0,0.52090412
3252.0,17.38,0.46,1.18,4.81,2.18,0.18,1.22,325.51,398.97,15.0,6.0,4.0,1.4,17.0,superheated,37.9,-1.0,152.0,13.0,2.0,15.55,4.6,-0.6,0.60918963
3253.0,17.62,0.46,1.21,4.78,2.21,0.19,1.19,326.1,398.52,15.0,6.0,4.0,1.41,17.0,superheated,37.9,-1.0,152.0,14.0,2.0,15.55,4.6,1.2,0.6053232
3254.0,17.36,0.46,1.19,4.79,2.19,0.21,1.21,327.46,398.99,15.0,6.0,4.0,1.41,17.0,superheated,37.9,-1.0,152.0,15.0,2.0,15.55,4.6,3.0,0.5561837
3255.0,17.37,0.46,1.2,4.81,2.2,0.2,1.22,326.51,398.81,15.0,6.0,4.0,1.39,17.0,superheated,37.9,-1.0,152.0,16.0,2.0,15.55,7.4,-0.6,0.52497488
3256.0,17.48,0.46,1.22,4.78,2.21,0.21,1.2,327.03,398.61,15.0,6.0,4.0,1.38,17.0,superheated,37.9,-1.0,152.0,17.0,2.0,15.55,7.4,1.2,0.52290064
3257.0,17.69,0.46,1.19,4.79,2.21,0.19,1.21,326.87,398.5,15.0,6.0,4.0,1.4,17.0,superheated,37.9,-1.0,152.0,18.0,2.0,15.55,7.4,3.0,0.48448184
3258.0,17.43,0.46,1.21,4.79,2.21,0.2,1.21,327.04,398.51,15.0,6.0,4.0,1.38,17.0,superheated,37.9,-1.0,152.0,19.0,3.0,16.3,1.55,-0.6,0.34290519
3259.0,17.52,0.46,1.2,4.78,2.2,0.2,1.19,325.96,399.63,15.0,6.0,4.0,1.38,17.0,superheated,37.9,-1.0,152.0,20.0,3.0,16.3,1.55,1.2,0.34114543
3260.0,17.5,0.46,1.19,4.78,2.22,0.2,1.21,327.31,398.89,15.0,6.0,4.0,1.41,17.0,superheated,37.9,-1.0,152.0,21.0,3.0,16.3,1.55,3.0,0.32118651
3261.0,17.55,0.46,1.2,4.81,2.21,0.2,1.2,327.51,398.21,15.0,6.0,4.0,1.38,17.0,superheated,37.9,-1.0,152.0,22.0,4.0,16.3,1.8,3.3,0.26980087
3262.0,17.7,0.46,1.19,4.79,2.22,0.22,1.18,329.08,398.84,15.0,6.0,4.0,1.4,17.0,superheated,37.9,-1.0,152.0,23.0,4.0,16.3,4.6,3.3,0.2441102
3263.0,17.6,0.46,1.22,4.82,2.21,0.2,1.18,327.35,398.55,15.0,6.0,4.0,1.41,17.0,superheated,37.9,-1.0,152.0,24.0,4.0,16.3,7.4,3.3,0.2267082
3264.0,17.46,0.46,1.19,4.8,2.2,0.22,1.22,326.52,398.44,15.0,6.0,4.0,1.42,17.0,superheated,37.9,-1.0,152.0,25.0,5.0,16.3,7.65,-0.6,0.19501561
3265.0,17.38,0.46,1.2,4.8,2.2,0.21,1.2,325.89,399.11,15.0,6.0,4.0,1.38,17.0,superheated,37.9,-1.0,152.0,26.0,5.0,16.3,7.65,1.2,0.19472341
3266.0,17.44,0.46,1.19,4.82,2.18,0.2,1.22,327.09,399.31,15.0,6.0,4.0,1.42,17.0,superheated,37.9,-1.0,152.0,27.0,5.0,16.3,7.65,3.0,0.21609077
3267.0,23.98,0.19,1.98,2.99,3.0,0.0,2.6,284.57,423.22,15.0,9.0,4.0,2.01,22.0,superheated,37.9,-1.0,152.0,1.0,1.0,18.05,1.7,-1.1,0.17790781
3268.0,24.13,0.19,1.99,3.01,2.99,-0.01,2.59,284.54,423.31,15.0,9.0,4.0,2.0,22.0,superheated,37.9,-1.0,152.0,2.0,1.0,18.05,1.7,0.7,0.17817967
3269.0,24.18,0.19,2.02,2.99,2.98,0.0,2.59,284.77,423.14,15.0,9.0,4.0,2.01,22.0,superheated,37.9,-1.0,152.0,3.0,1.0,18.05,1.7,2.5,0.22784588
3270.0,24.05,0.19,2.01,3.0,3.0,0.02,2.61,284.35,422.63,15.0,9.0,4.0,2.02,22.0,superheated,37.9,-1.0,152.0,4.0,1.0,18.05,6.0,-1.1,0.21536461
3271.0,24.14,0.19,1.99,3.01,2.99,0.0,2.6,282.66,423.27,15.0,9.0,4.0,2.01,22.0,superheated,37.9,-1.0,152.0,5.0,1.0,18.05,6.0,0.7,0.18537115
3272.0,24.23,0.19,1.99,2.99,3.01,0.0,2.59,284.45,423.69,15.0,9.0,4.0,1.98,22.0,superheated,37.9,-1.0,152.0,6.0,1.0,18.05,6.0,2.5,0.1239795
3273.0,24.13,0.19,1.99,3.01,2.98,0.01,2.61,284.26,423.52,15.0,9.0,4.0,2.0,22.0,superheated,37.9,-1.0,152.0,7.0,1.0,18.05,10.3,-1.1,0.1403605
3274.0,24.34,0.19,2.01,2.99,3.01,0.0,2.61,283.17,423.27,15.0,9.0,4.0,1.99,22.0,superheated,37.9,-1.0,152.0,8.0,1.0,18.05,10.3,0.7,0.13738403
3275.0,24.18,0.19,2.0,3.0,3.01,0.01,2.62,284.6,422.62,15.0,9.0,4.0,1.98,22.0,superheated,37.9,-1.0,152.0,9.0,1.0,18.05,10.3,2.5,0.1799024
3276.0,24.24,0.19,2.0,2.98,3.01,0.0,2.59,283.73,423.69,15.0,9.0,4.0,2.02,22.0,superheated,37.9,-1.0,152.0,10.0,2.0,15.95,1.7,-1.1,1.2049105
3277.0,24.02,0.19,1.99,3.01,3.02,0.01,2.59,284.41,423.28,15.0,9.0,4.0,2.0,22.0,superheated,37.9,-1.0,152.0,11.0,2.0,15.95,1.7,0.7,1.1797085
3278.0,24.15,0.19,1.99,3.02,2.99,-0.01,2.59,285.01,423.24,15.0,9.0,4.0,2.01,22.0,superheated,37.9,-1.0,152.0,12.0,2.0,15.95,1.7,2.5,1.0826703
3279.0,24.28,0.19,2.01,3.01,2.98,0.0,2.59,284.11,423.58,15.0,9.0,4.0,1.99,22.0,superheated,37.9,-1.0,152.0,13.0,2.0,15.95,6.0,-1.1,1.2020811
3280.0,24.05,0.19,1.99,3.01,2.98,-0.01,2.59,285.29,422.74,15.0,9.0,4.0,2.0,22.0,superheated,37.9,-1.0,152.0,14.0,2.0,15.95,6.0,0.7,1.1869165
3281.0,24.17,0.19,1.99,2.98,3.0,0.0,2.59,285.07,423.13,15.0,9.0,4.0,1.99,22.0,superheated,37.9,-1.0,152.0,15.0,2.0,15.95,6.0,2.5,1.0878665
3282.0,24.12,0.19,1.99,2.99,2.99,0.0,2.58,284.04,423.34,15.0,9.0,4.0,1.99,22.0,superheated,37.9,-1.0,152.0,16.0,2.0,15.95,10.3,-1.1,0.98808491
3283.0,24.32,0.19,2.01,3.0,2.99,0.01,2.61,285.05,423.85,15.0,9.0,4.0,2.01,22.0,superheated,37.9,-1.0,152.0,17.0,2.0,15.95,10.3,0.7,0.9823826
3284.0,24.02,0.19,1.99,2.99,2.99,0.02,2.59,284.87,423.21,15.0,9.0,4.0,2.0,22.0,superheated,37.9,-1.0,152.0,18.0,2.0,15.95,10.3,2.5,0.91320634
3285.0,24.06,0.19,2.01,3.02,2.99,0.02,2.59,284.43,422.98,15.0,9.0,4.0,1.98,22.0,superheated,37.9,-1.0,152.0,19.0,3.0,17.0,1.45,-1.1,0.67846048
3286.0,24.35,0.19,1.98,2.99,3.01,-0.02,2.61,283.73,423.14,15.0,9.0,4.0,2.01,22.0,superheated,37.9,-1.0,152.0,20.0,3.0,17.0,1.45,0.7,0.66902983
3287.0,24.24,0.19,2.01,3.0,2.98,0.0,2.62,284.31,423.46,15.0,9.0,4.0,2.0,22.0,superheated,37.9,-1.0,152.0,21.0,3.0,17.0,1.45,2.5,0.59114027
3288.0,24.33,0.19,1.99,3.01,3.01,0.02,2.58,284.07,424.08,15.0,9.0,4.0,2.01,22.0,superheated,37.9,-1.0,152.0,22.0,4.0,17.0,1.7,2.8,0.45528799
3289.0,24.23,0.19,1.99,2.98,2.99,0.01,2.61,283.93,423.68,15.0,9.0,4.0,1.98,22.0,superheated,37.9,-1.0,152.0,23.0,4.0,17.0,6.0,2.8,0.39407325
3290.0,24.04,0.19,1.99,3.0,3.01,-0.01,2.58,283.6,423.26,15.0,9.0,4.0,2.0,22.0,superheated,37.9,-1.0,152.0,24.0,4.0,17.0,10.3,2.8,0.34705469
3291.0,24.15,0.19,1.99,3.01,3.01,-0.01,2.59,284.44,423.17,15.0,9.0,4.0,2.01,22.0,superheated,37.9,-1.0,152.0,25.0,5.0,17.0,10.55,-1.1,0.26468804
3292.0,24.12,0.19,2.0,2.98,2.98,-0.02,2.61,284.04,423.72,15.0,9.0,4.0,1.99,22.0,superheated,37.9,-1.0,152.0,26.0,5.0,17.0,10.55,0.7,0.26412299
3293.0,24.22,0.18,2.0,3.0,2.99,0.01,2.59,284.21,423.24,15.0,9.0,4.0,2.01,22.0,superheated,37.9,-1.0,152.0,27.0,5.0,17.0,10.55,2.5,0.31342623
3294.0,22.29,0.37,2.22,4.2,0.81,0.99,0.59,511.37,332.26,11.0,4.0,4.0,0.8,27.0,subcooled,37.9,-1.0,152.0,1.0,1.0,12.95,3.8,-1.1,0.11172614
3295.0,22.3,0.37,2.19,4.18,0.79,0.99,0.62,511.8,332.8,11.0,4.0,4.0,0.8,27.0,subcooled,37.9,-1.0,152.0,2.0,1.0,12.95,3.8,0.7,0.11233156
3296.0,22.46,0.36,2.21,4.19,0.8,0.98,0.59,511.63,332.08,11.0,4.0,4.0,0.79,27.0,subcooled,37.9,-1.0,152.0,3.0,1.0,12.95,3.8,2.5,0.1439711
3297.0,22.7,0.37,2.19,4.21,0.78,1.01,0.59,510.91,332.39,11.0,4.0,4.0,0.81,27.0,subcooled,37.9,-1.0,152.0,4.0,1.0,12.95,5.6,-1.1,0.066229455
3298.0,22.36,0.36,2.21,4.22,0.81,1.0,0.61,512.28,332.3,11.0,4.0,4.0,0.79,27.0,subcooled,37.9,-1.0,152.0,5.0,1.0,12.95,5.6,0.7,0.081878863
3299.0,22.38,0.37,2.21,4.21,0.81,0.98,0.58,510.47,331.41,11.0,4.0,4.0,0.82,27.0,subcooled,37.9,-1.0,152.0,6.0,1.0,12.95,5.6,2.5,0.092386901
3300.0,22.43,0.37,2.2,4.19,0.79,0.99,0.59,511.43,332.33,11.0,4.0,4.0,0.81,27.0,subcooled,37.9,-1.0,152.0,7.0,1.0,12.95,7.4,-1.1,0.071111627
3301.0,22.44,0.36,2.2,4.19,0.78,1.0,0.59,512.36,331.9,11.0,4.0,4.0,0.79,27.0,subcooled,37.9,-1.0,152.0,8.0,1.0,12.95,7.4,0.7,0.10631105
3302.0,22.38,0.37,2.21,4.2,0.81,1.0,0.62,511.14,331.85,11.0,4.0,4.0,0.81,27.0,subcooled,37.9,-1.0,152.0,9.0,1.0,12.95,7.4,2.5,0.11818918
3303.0,22.28,0.37,2.21,4.19,0.81,0.98,0.6,512.12,332.38,11.0,4.0,4.0,0.8,27.0,subcooled,37.9,-1.0,152.0,10.0,2.0,12.05,3.8,-1.1,0.45206821
3304.0,22.43,0.36,2.21,4.2,0.81,1.0,0.61,512.43,331.93,11.0,4.0,4.0,0.81,27.0,subcooled,37.9,-1.0,152.0,11.0,2.0,12.05,3.8,0.7,0.45142645
3305.0,22.37,0.36,2.19,4.21,0.79,1.02,0.59,511.38,332.69,11.0,4.0,4.0,0.82,27.0,subcooled,37.9,-1.0,152.0,12.0,2.0,12.05,3.8,2.5,0.43275484
3306.0,22.5,0.36,2.18,4.18,0.79,0.98,0.62,512.41,332.5,11.0,4.0,4.0,0.8,27.0,subcooled,37.9,-1.0,152.0,13.0,2.0,12.05,5.6,-1.1,0.50251955
3307.0,22.35,0.37,2.2,4.19,0.79,1.01,0.62,511.51,332.07,11.0,4.0,4.0,0.78,27.0,subcooled,37.9,-1.0,152.0,14.0,2.0,12.05,5.6,0.7,0.50478667
3308.0,22.52,0.37,2.19,4.19,0.81,0.99,0.61,512.05,331.67,11.0,4.0,4.0,0.8,27.0,subcooled,37.9,-1.0,152.0,15.0,2.0,12.05,5.6,2.5,0.47859195
3309.0,22.45,0.36,2.21,4.19,0.8,1.01,0.61,511.55,332.02,11.0,4.0,4.0,0.78,27.0,subcooled,37.9,-1.0,152.0,16.0,2.0,12.05,7.4,-1.1,0.44104561
3310.0,22.34,0.36,2.21,4.2,0.79,1.02,0.58,512.33,332.29,11.0,4.0,4.0,0.81,27.0,subcooled,37.9,-1.0,152.0,17.0,2.0,12.05,7.4,0.7,0.44489011
3311.0,22.38,0.37,2.22,4.22,0.82,1.01,0.58,510.36,332.29,11.0,4.0,4.0,0.82,27.0,subcooled,37.9,-1.0,152.0,18.0,2.0,12.05,7.4,2.5,0.42518193
3312.0,22.46,0.37,2.2,4.21,0.8,0.99,0.59,512.48,332.03,11.0,4.0,4.0,0.81,27.0,subcooled,37.9,-1.0,152.0,19.0,3.0,12.5,3.55,-1.1,0.31764555
3313.0,22.3,0.36,2.21,4.22,0.82,0.99,0.61,511.69,332.0,11.0,4.0,4.0,0.81,27.0,subcooled,37.9,-1.0,152.0,20.0,3.0,12.5,3.55,0.7,0.31740806
3314.0,22.34,0.37,2.22,4.19,0.79,1.0,0.58,511.94,332.32,11.0,4.0,4.0,0.81,27.0,subcooled,37.9,-1.0,152.0,21.0,3.0,12.5,3.55,2.5,0.30322382
3315.0,22.39,0.37,2.18,4.21,0.81,1.0,0.62,512.47,331.98,11.0,4.0,4.0,0.81,27.0,subcooled,37.9,-1.0,152.0,22.0,4.0,12.5,3.8,2.8,0.22546241
3316.0,22.38,0.37,2.19,4.18,0.79,0.99,0.59,511.58,332.12,11.0,4.0,4.0,0.79,27.0,subcooled,37.9,-1.0,152.0,23.0,4.0,12.5,5.6,2.8,0.2101932
3317.0,22.38,0.37,2.19,4.19,0.78,0.99,0.61,512.31,331.9,11.0,4.0,4.0,0.79,27.0,subcooled,37.9,-1.0,152.0,24.0,4.0,12.5,7.4,2.8,0.19893363
3318.0,22.41,0.36,2.22,4.18,0.81,0.99,0.61,512.4,331.8,11.0,4.0,4.0,0.82,27.0,subcooled,37.9,-1.0,152.0,25.0,5.0,12.5,7.65,-1.1,0.16129878
3319.0,22.41,0.37,2.19,4.19,0.81,1.0,0.59,511.18,331.72,11.0,4.0,4.0,0.81,27.0,subcooled,37.9,-1.0,152.0,26.0,5.0,12.5,7.65,0.7,0.16282651
3320.0,22.41,0.37,2.21,4.2,0.79,1.0,0.62,510.95,332.25,11.0,4.0,4.0,0.81,27.0,subcooled,37.9,-1.0,152.0,27.0,5.0,12.5,7.65,2.5,0.17949559
3321.0,40.46,0.18,1.98,1.58,1.21,1.59,0.99,446.34,288.27,12.0,4.0,4.0,0.59,5.0,subcooled,42.5,-42.0,96.7,1.0,1.0,13.65,-0.8,-1.9,0.098231882
3322.0,40.51,0.19,2.02,1.6,1.18,1.61,0.99,446.47,287.68,12.0,4.0,4.0,0.61,5.0,subcooled,42.5,-42.0,96.7,2.0,1.0,13.65,-0.8,-0.1,0.11594174
3323.0,40.53,0.19,1.99,1.59,1.19,1.61,0.99,446.64,288.42,12.0,4.0,4.0,0.6,5.0,subcooled,42.5,-42.0,96.7,3.0,1.0,13.65,-0.8,1.7,0.12684639
3324.0,40.61,0.18,1.99,1.61,1.2,1.6,1.02,446.55,288.34,12.0,4.0,4.0,0.61,5.0,subcooled,42.5,-42.0,96.7,4.0,1.0,13.65,1.0,-1.9,0.11074492
3325.0,40.46,0.18,2.0,1.59,1.21,1.61,1.01,445.1,288.42,12.0,4.0,4.0,0.61,5.0,subcooled,42.5,-42.0,96.7,5.0,1.0,13.65,1.0,-0.1,0.1349702
3326.0,40.55,0.19,1.99,1.6,1.21,1.59,0.99,445.12,288.17,12.0,4.0,4.0,0.62,5.0,subcooled,42.5,-42.0,96.7,6.0,1.0,13.65,1.0,1.7,0.079054222
3327.0,40.6,0.19,1.99,1.59,1.21,1.6,0.98,445.47,288.18,12.0,4.0,4.0,0.62,5.0,subcooled,42.5,-42.0,96.7,7.0,1.0,13.65,2.8,-1.9,0.083198845
3328.0,40.59,0.18,2.01,1.62,1.21,1.6,0.99,444.1,288.05,12.0,4.0,4.0,0.59,5.0,subcooled,42.5,-42.0,96.7,8.0,1.0,13.65,2.8,-0.1,0.082243837
3329.0,40.34,0.18,1.98,1.59,1.22,1.6,1.0,444.92,288.78,12.0,4.0,4.0,0.59,5.0,subcooled,42.5,-42.0,96.7,9.0,1.0,13.65,2.8,1.7,0.13005139
3330.0,40.31,0.19,2.02,1.58,1.21,1.61,1.02,445.08,287.52,12.0,4.0,4.0,0.62,5.0,subcooled,42.5,-42.0,96.7,10.0,2.0,12.95,-0.8,-1.9,0.51727331
